DrugID;Segment;Year;Month;Series;TotDrugQn;MnfPrice;PrcPrice;RtlPrice;Funds;VendorID
29398;1;2015;11;"FG7845";3.00;307.22;305.93;367.30;0.00;16866
20752;1;2015;11;"216015";2.00;319.98;326.70;390.60;0.00;16866
49587;1;2015;11;"3330415";2.00;273.53;282.62;337.30;0.00;16866
66063;1;2015;11;"1031272";1.00;1433.16;1431.30;1639.70;0.00;16866
68686;1;2015;11;"496";1.00;220.92;224.30;268.40;0.00;16866
25529;1;2015;11;"147764";2.00;758.60;764.23;874.50;0.00;16866
68545;1;2015;11;"150515";2.00;110.00;96.39;118.30;0.00;16866
66311;1;2015;11;"5V044";2.00;43.74;45.03;54.90;0.00;16866
49569;1;2015;11;"14K01/31";1.00;654.05;687.35;782.40;0.00;16866
45047;1;2015;11;"R00756B";2.00;129.69;127.47;153.40;0.00;16866
66700;1;2015;11;"408141";1.00;389.47;385.69;463.50;0.00;16866
31431;1;2015;11;"30415";5.00;127.70;127.43;152.90;0.00;16866
316;1;2015;11;"255052015";1.00;445.50;347.93;437.00;0.00;16860
68244;1;2015;11;"110515";5.00;44.33;46.86;56.90;0.00;16860
52490;1;2015;11;"A400947";1.00;158.70;162.14;193.80;0.00;16860
68763;1;2015;11;"40415";1.00;306.21;230.78;292.00;0.00;16860
68735;1;2015;11;"20115";2.00;153.59;123.86;154.50;0.00;16860
68747;1;2015;11;"10614";3.00;177.74;97.35;132.80;0.00;16860
67407;1;2015;11;"R13317";1.00;147.79;157.63;187.10;0.00;16860
55365;1;2015;11;"180415";6.00;43.61;40.92;50.80;0.00;16860
27042;1;2015;11;"NB9280";1.00;629.48;566.39;657.90;0.00;16860
49550;1;2015;11;"230715";1.00;233.18;230.01;276.60;0.00;16860
34770;1;2015;11;"5140B0215";1.00;1343.62;1300.97;1496.40;0.00;16860
68244;1;2015;11;"120615";5.00;44.33;46.86;56.90;0.00;16860
52121;1;2015;11;"2540913";1.00;226.02;231.55;276.70;0.00;16860
43706;1;2015;11;"C739830";2.00;338.60;353.20;420.92;0.00;558
48172;1;2015;11;"5B1582";2.00;98.12;99.40;119.02;0.00;124097
55258;1;2015;11;"BTAFVW0";5.00;106.14;109.23;130.45;0.00;558
53162;1;2015;11;"5W0005";1.00;1004.52;975.83;1121.94;0.00;558
48172;1;2015;11;"5C1565";2.00;98.24;101.35;120.99;0.00;118361
68231;1;2015;11;"1668989";1.00;136.53;148.99;176.29;0.00;122044
68231;1;2015;11;"1668989";1.00;136.53;148.99;176.29;0.00;122044
8934;1;2015;11;"270815";5.00;20.32;22.63;27.24;0.00;122044
52136;1;2015;11;"51842";1.00;458.93;466.51;558.29;0.00;16860
7216;1;2015;11;"53013";2.00;126.39;129.92;155.19;0.00;3212
66247;1;2015;11;"51032";2.00;87.23;89.64;107.08;0.00;3212
29398;1;2015;11;"FG7846";4.00;307.13;304.79;366.21;0.00;118361
47246;1;2015;11;"070415";1.00;360.57;348.99;421.10;0.00;118361
35838;1;2015;11;"4310915";6.00;8.50;7.69;9.62;0.00;118361
29193;1;2015;11;"226K";2.00;291.54;293.64;351.94;0.00;16866
44731;1;2015;11;"5BBKABJB01";3.00;714.18;717.04;820.92;0.00;16866
49569;1;2015;11;"14K01/31";2.00;654.05;687.35;782.48;0.00;16866
52515;1;2015;11;"930715";3.00;85.75;81.62;98.77;0.00;16860
49551;1;2015;11;"080715";3.00;196.30;193.93;233.19;0.00;16860
28509;1;2015;11;"720915";5.00;88.18;89.43;107.06;0.00;16860
2317;1;2015;11;"130815";3.00;37.25;42.81;51.00;0.00;118361
45860;1;2015;11;"2050715";10.00;24.48;23.25;28.80;0.00;118361
49298;1;2015;11;"140515";3.00;40.25;42.39;51.50;0.00;118361
46125;1;2015;11;"02150427";10.00;44.52;48.66;58.70;0.00;118361
37046;1;2015;11;"150315";2.00;75.56;64.80;79.50;0.00;118361
51477;1;2015;11;"147945";1.00;217.57;206.07;249.50;0.00;118361
66326;1;2015;11;"1504654";1.00;80.29;91.82;107.80;0.00;118361
34238;1;2015;11;"45180115";1.00;223.87;212.48;257.00;0.00;118361
67274;1;2015;11;"940415";3.00;62.07;59.31;71.70;0.00;5274
41794;1;2015;11;"010614";1.00;40.79;46.89;56.10;0.00;5274
51643;1;2015;11;"040715";10.00;65.34;33.76;46.80;0.00;5274
67612;1;2015;11;"10415";2.00;15.86;18.23;21.80;0.00;5274
56874;1;2015;11;"120715";2.00;552.10;507.71;588.00;0.00;558
47935;1;2015;11;"735796";2.00;314.14;321.30;384.00;0.00;558
65220;1;2015;11;"380715";10.00;12.96;14.87;17.80;0.00;558
58064;1;2015;11;"348490";1.00;237.84;248.77;296.30;0.00;558
17933;1;2015;11;"360615";5.00;65.85;63.12;76.00;0.00;558
66326;1;2015;11;"1412680";1.00;80.29;87.45;103.50;0.00;558
68789;1;2015;11;"510663";3.00;151.90;165.55;195.90;0.00;558
68789;1;2015;11;"513965";3.00;151.90;165.55;195.90;0.00;558
47592;1;2015;11;"503665";3.00;101.27;110.11;130.30;0.00;558
51612;1;2015;11;"K08827";2.00;122.97;131.30;155.80;0.00;558
49579;1;2015;11;"31072015";1.00;279.07;282.54;338.00;0.00;558
50912;1;2015;11;"1200615";1.00;353.90;347.39;443.50;0.00;558
52311;1;2015;11;"0740515";1.00;305.98;304.52;387.50;0.00;558
27656;1;2015;11;"230415";5.00;39.70;39.03;48.00;0.00;124097
55258;1;2015;11;"BTAFVW1";1.00;106.10;109.23;130.00;0.00;124097
